gaia_dr3,instrument,cap,teff,logg,vmic,FeH,FeII,nFeI,nFeII,railed
647383581622234496,PEPSI,full,5839.0,4.22,1.676,0.3449,0.4705,63,8,0
647383581622234496,PEPSI,w140,5839.0,4.22,1.676,0.3449,0.4705,63,8,0
647383581622234496,PEPSI,w120,5839.0,4.22,1.676,0.3449,0.4705,63,8,0
647383581622234496,PEPSI,w100,5839.0,4.22,1.43,0.3962,0.525,56,8,0
1172246044236127744,HIRES,full,4713.0,3.48,1.742,0.1869,0.1568,70,4,0
1172246044236127744,HIRES,w140,4713.0,3.48,1.627,0.2165,0.1778,63,4,0
1172246044236127744,HIRES,w120,4713.0,3.48,1.446,0.2752,0.2186,57,4,0
1172246044236127744,HIRES,w100,4713.0,3.48,1.168,0.3544,0.2886,43,4,0
1291436403222476928,APF,full,4597.0,2.53,2.3,0.075,-0.1953,62,6,0
1291436403222476928,APF,w140,4597.0,2.53,1.906,0.188,-0.1169,45,6,0
1291436403222476928,APF,w120,4597.0,2.53,1.627,0.2788,-0.0493,38,6,0
1291436403222476928,APF,w100,4597.0,2.53,1.315,0.3659,-0.0182,30,5,0
1291436403222476928,HIRES,full,4597.0,2.53,2.283,0.0279,-0.2478,63,3,0
1291436403222476928,HIRES,w140,4597.0,2.53,1.971,0.0806,-0.1711,47,3,0
1291436403222476928,HIRES,w120,4597.0,2.53,1.676,0.1752,-0.0843,40,3,0
1291436403222476928,HIRES,w100,4597.0,2.53,1.512,0.2352,-0.0291,33,3,0
1344347754609974912,APF,full,5781.0,3.59,2.8,0.225,0.3275,63,9,1
1344347754609974912,APF,w140,5781.0,3.59,2.8,0.223,0.3275,62,9,1
1344347754609974912,APF,w120,5781.0,3.59,2.726,0.2241,0.366,58,8,0
1344347754609974912,APF,w100,5781.0,3.59,2.8,0.2254,0.3872,42,4,1
1344347754609974912,PEPSI,full,5781.0,3.59,2.332,0.2684,0.3129,70,9,0
1344347754609974912,PEPSI,w140,5781.0,3.59,2.332,0.2684,0.3129,70,9,0
1344347754609974912,PEPSI,w120,5781.0,3.59,2.119,0.2865,0.3578,65,8,0
1344347754609974912,PEPSI,w100,5781.0,3.59,2.349,0.2728,0.3503,53,6,0
1349677912103573888,PEPSI,full,4711.0,3.23,1.775,0.1712,0.0724,54,7,0
1349677912103573888,PEPSI,w140,4711.0,3.23,1.545,0.2293,0.095,47,7,0
1349677912103573888,PEPSI,w120,4711.0,3.23,1.479,0.2424,0.102,42,7,0
1349677912103573888,PEPSI,w100,4711.0,3.23,1.2,0.3306,0.1795,33,6,0
1373298170645854208,PEPSI,full,4740.0,3.14,1.775,0.2049,-0.0633,50,7,0
1373298170645854208,PEPSI,w140,4740.0,3.14,1.857,0.2202,-0.0696,42,7,0
1373298170645854208,PEPSI,w120,4740.0,3.14,1.545,0.2578,-0.0342,38,7,0
1373298170645854208,PEPSI,w100,4740.0,3.14,1.348,0.2936,0.0097,31,6,0
1615356205256881920,PEPSI,full,4605.0,2.62,2.546,0.0475,-0.2724,49,6,0
1615356205256881920,PEPSI,w140,4605.0,2.62,1.807,0.156,-0.1142,33,6,0
1615356205256881920,PEPSI,w120,4605.0,2.62,1.709,0.1912,-0.0826,29,6,0
1615356205256881920,PEPSI,w100,4605.0,2.62,1.2,0.4222,0.104,24,5,0
1817438775924874496,PEPSI,full,4871.0,3.9,1.446,0.3037,0.3095,57,7,0
1817438775924874496,PEPSI,w140,4871.0,3.9,1.25,0.3566,0.3724,53,7,0
1817438775924874496,PEPSI,w120,4871.0,3.9,1.217,0.3785,0.3833,48,7,0
1817438775924874496,PEPSI,w100,4871.0,3.9,1.118,0.3805,0.4167,42,7,0
1956623998681016960,PEPSI,full,5127.0,3.96,1.414,0.5114,0.4986,72,8,0
1956623998681016960,PEPSI,w140,5127.0,3.96,1.332,0.5488,0.5216,66,8,0
1956623998681016960,PEPSI,w120,5127.0,3.96,1.217,0.5844,0.5557,57,8,0
1956623998681016960,PEPSI,w100,5127.0,3.96,1.069,0.6415,0.6091,48,8,0
2046021505262823296,PEPSI,full,5876.0,3.93,1.791,0.2922,0.3448,78,9,0
2046021505262823296,PEPSI,w140,5876.0,3.93,1.693,0.3011,0.3645,77,9,0
2046021505262823296,PEPSI,w120,5876.0,3.93,1.693,0.3011,0.3645,77,9,0
2046021505262823296,PEPSI,w100,5876.0,3.93,1.578,0.3287,0.3783,72,7,0
2060055328082386304,PEPSI,full,4875.0,3.53,1.84,0.2251,0.0597,70,7,0
2060055328082386304,PEPSI,w140,4875.0,3.53,1.529,0.356,0.0849,61,7,0
2060055328082386304,PEPSI,w120,4875.0,3.53,1.348,0.3947,0.1017,54,7,0
2060055328082386304,PEPSI,w100,4875.0,3.53,1.217,0.4282,0.115,43,7,0
2250537578633588352,HIRES,full,5405.0,4.01,1.725,0.4475,0.2042,71,5,0
