gaia_dr3,instrument,species,wl_air_AA,chi_eV,loggf,ew_mA
647383581622234496,PEPSI,Fe I,5522.45,4.21,-1.49,57.8
647383581622234496,PEPSI,Fe I,5546.51,4.37,-1.18,72.5
647383581622234496,PEPSI,Fe I,5560.21,4.43,-1.14,69.4
647383581622234496,PEPSI,Fe I,5618.63,4.21,-1.39,67.5
647383581622234496,PEPSI,Fe I,5619.61,4.39,-1.51,55.5
647383581622234496,PEPSI,Fe I,5701.55,2.56,-2.22,101.6
647383581622234496,PEPSI,Fe I,5705.47,4.3,-1.52,56.0
647383581622234496,PEPSI,Fe I,5741.85,4.26,-1.71,49.1
647383581622234496,PEPSI,Fe I,5753.13,4.26,-0.77,96.2
647383581622234496,PEPSI,Fe I,5775.08,4.22,-1.16,80.3
647383581622234496,PEPSI,Fe I,5778.46,2.59,-3.57,37.2
647383581622234496,PEPSI,Fe I,5809.22,3.88,-1.73,73.3
647383581622234496,PEPSI,Fe I,5849.69,3.69,-3.14,16.2
647383581622234496,PEPSI,Fe I,5852.22,4.55,-1.24,63.6
647383581622234496,PEPSI,Fe I,5855.08,4.61,-1.6,39.3
647383581622234496,PEPSI,Fe I,5858.78,4.22,-2.17,21.1
647383581622234496,PEPSI,Fe I,5861.11,4.28,-2.51,15.7
647383581622234496,PEPSI,Fe I,6054.07,4.37,-2.31,17.1
647383581622234496,PEPSI,Fe I,6079.01,4.65,-1.06,68.1
647383581622234496,PEPSI,Fe I,6082.71,2.22,-3.61,52.6
647383581622234496,PEPSI,Fe I,6093.64,4.61,-1.39,50.2
647383581622234496,PEPSI,Fe I,6127.9,4.14,-1.43,73.9
647383581622234496,PEPSI,Fe I,6151.62,2.18,-3.36,65.6
647383581622234496,PEPSI,Fe I,6157.73,4.07,-1.38,83.4
647383581622234496,PEPSI,Fe I,6159.38,4.61,-1.99,23.1
647383581622234496,PEPSI,Fe I,6165.37,4.14,-1.55,67.9
647383581622234496,PEPSI,Fe I,6170.51,4.79,-0.46,115.7
647383581622234496,PEPSI,Fe I,6173.34,2.22,-2.9,89.1
647383581622234496,PEPSI,Fe I,6180.2,2.73,-2.62,84.7
647383581622234496,PEPSI,Fe I,6187.99,3.94,-1.73,66.7
647383581622234496,PEPSI,Fe I,6200.31,2.61,-2.43,96.8
647383581622234496,PEPSI,Fe I,6240.65,2.22,-3.36,66.4
647383581622234496,PEPSI,Fe I,6265.13,2.18,-2.56,107.1
647383581622234496,PEPSI,Fe I,6270.23,2.86,-2.63,71.8
647383581622234496,PEPSI,Fe I,6297.79,2.22,-2.83,99.7
647383581622234496,PEPSI,Fe I,6311.5,2.83,-3.09,75.4
647383581622234496,PEPSI,Fe I,6315.81,4.07,-1.73,58.6
647383581622234496,PEPSI,Fe I,6322.69,2.59,-2.37,102.2
647383581622234496,PEPSI,Fe I,6380.74,4.19,-1.38,76.3
647383581622234496,PEPSI,Fe I,6392.54,2.28,-4.06,25.3
647383581622234496,PEPSI,Fe I,6419.95,4.73,-0.38,119.0
647383581622234496,PEPSI,Fe I,6436.41,4.19,-2.38,21.9
647383581622234496,PEPSI,Fe I,6481.87,2.28,-2.98,86.0
647383581622234496,PEPSI,Fe I,6518.37,2.83,-2.58,85.1
647383581622234496,PEPSI,Fe I,6569.22,4.73,-0.61,93.2
647383581622234496,PEPSI,Fe I,6574.23,0.99,-4.99,38.9
