gaia_dr3,instrument,teff_K,logg_dex,vmic_kms,FeH_dex,eFeH_dex,FeII_dex,dion_dex,nFeI,MH_XP_dex
647383581622234496,PEPSI,5839,4.22,1.68,0.345,0.076,0.47,-0.126,63,0.515
1172246044236127744,HIRES,4713,3.48,1.45,0.275,0.077,0.219,0.057,57,0.414
1291436403222476928,APF,4597,2.53,1.63,0.279,0.08,-0.049,0.328,38,0.424
1291436403222476928,HIRES,4597,2.53,1.68,0.175,0.08,-0.084,0.26,40,0.424
1344347754609974912,APF,5781,3.59,2.73,0.224,0.078,0.366,-0.142,58,0.472
1344347754609974912,PEPSI,5781,3.59,2.12,0.286,0.076,0.358,-0.071,65,0.472
1349677912103573888,PEPSI,4711,3.23,1.48,0.242,0.08,0.102,0.14,42,0.381
1373298170645854208,PEPSI,4740,3.14,1.54,0.258,0.078,-0.034,0.292,38,0.371
1615356205256881920,PEPSI,4605,2.62,1.71,0.191,0.084,-0.083,0.274,29,0.387
1817438775924874496,PEPSI,4871,3.9,1.22,0.378,0.076,0.383,-0.005,48,0.423
1956623998681016960,PEPSI,5127,3.96,1.22,0.584,0.073,0.556,0.029,57,0.487
2046021505262823296,PEPSI,5876,3.93,1.69,0.301,0.075,0.364,-0.063,77,0.425
2060055328082386304,PEPSI,4875,3.53,1.35,0.395,0.078,0.102,0.293,54,0.434
2250537578633588352,HIRES,5405,4.01,1.5,0.502,0.075,0.225,0.277,59,0.436
3958303608740295296,PEPSI,5746,3.92,1.59,0.262,0.074,0.283,-0.02,80,0.426
3981490689765823744,PEPSI,4791,3.58,1.35,0.337,0.079,0.234,0.102,46,0.422
4285843204916407296,APF,4700,3.63,1.56,0.343,0.08,0.46,-0.117,52,0.436
4285843204916407296,PEPSI,4700,3.63,1.3,0.386,0.078,0.44,-0.054,55,0.436
4547137062312951680,HIRES,4531,2.51,1.68,0.172,0.082,0.022,0.15,37,0.41
4547137062312951680,PEPSI,4531,2.51,1.74,0.168,0.083,-0.139,0.306,37,0.41
4553137647030000384,APF,4642,3.35,1.36,0.376,0.08,0.384,-0.008,46,0.434
4596318389222965504,PEPSI,4801,3.46,1.63,0.316,0.082,0.046,0.27,41,0.428
4607078038213603712,PEPSI,4644,2.24,1.58,0.266,0.08,-0.002,0.268,31,0.377
2085055993420266624,HIRES,5859,4.13,1.35,0.526,0.066,0.474,0.052,72,0.435
2134294185689376512,APF,5507,4.1,1.18,0.58,0.056,0.513,0.067,56,0.422
4267387391205504256,APF,5709,4.26,1.09,0.469,0.054,0.443,0.026,64,0.412
2759121045748142848,HIRES,5871,4.27,1.32,0.455,0.062,0.353,0.102,75,0.418
1810432623428484992,APF,6236,3.53,2.14,0.411,0.093,0.468,-0.057,59,0.41
2241587416547315584,APF,5946,3.95,2.3,0.292,0.068,0.34,-0.048,61,0.415
1969914723446419072,HIRES,5480,4.35,1.12,0.356,0.077,0.536,-0.18,72,0.423
2105262611951880320,APF,5761,4.15,1.5,0.428,0.057,0.376,0.052,61,0.405
2222930319131123584,HIRES,5555,4.46,1.12,0.412,0.066,0.434,-0.022,72,0.409
2034483990505147904,HIRES,5645,4.3,1.25,0.459,0.067,0.463,-0.004,71,0.412
2207311069265753088,HIRES,5572,4.4,1.12,0.455,0.059,0.501,-0.046,72,0.441
1332825044549520640,HIRES,4489,2.88,1.66,0.184,0.074,0.562,-0.378,40,0.417
1972949478614475520,HIRES,5935,4.14,1.38,0.481,0.065,0.467,0.014,76,0.408
1835520283318364800,APF,5330,4.0,1.4,0.358,0.057,0.339,0.019,54,0.403
4591824513402826112,APF,4435,2.6,1.86,0.098,0.071,0.127,-0.029,32,0.392
1577822554777070208,HIRES,4836,3.37,1.54,0.272,0.063,0.136,0.136,52,0.411
744784953040324864,PEPSI,4787,3.72,1.27,0.396,0.07,0.273,0.123,47,0.431
1050440187607443712,PEPSI,5594,4.26,1.17,0.452,0.055,0.473,-0.021,74,0.43
1289565687269465600,PEPSI,5622,4.32,1.2,0.404,0.066,0.388,0.015,78,0.423
1315367857917145856,PEPSI,5589,4.04,1.23,0.462,0.065,0.483,-0.021,75,0.435
1427663587506214784,PEPSI,5742,4.29,1.22,0.401,0.061,0.37,0.032,79,0.442
1518538605793638656,PEPSI,5636,4.3,1.27,0.357,0.069,0.353,0.004,79,0.419
1664530724642168448,PEPSI,5641,4.11,1.28,0.455,0.061,0.525,-0.07,76,0.426
1812617348721111552,HIRES,5649,4.07,1.56,0.327,0.073,0.419,-0.092,74,0.423
2076073979856273664,PEPSI,6079,4.22,1.59,0.52,0.07,0.434,0.086,77,0.444
2250991230259434496,PEPSI,5848,4.0,1.66,0.319,0.059,0.283,0.036,80,0.479
2882288059116860928,HIRES,5779,3.95,1.58,0.396,0.089,0.396,0.0,72,0.404
3825993705211972864,PEPSI,4705,3.52,1.46,0.359,0.073,0.366,-0.007,38,0.454
3944854382508327936,APF,5521,4.17,1.48,0.495,0.06,0.51,-0.016,66,0.482
3944854382508327936,HIRES,5521,4.17,1.43,0.454,0.06,0.491,-0.037,67,0.482
4006726444423916544,PEPSI,5597,4.1,1.23,0.397,0.06,0.45,-0.053,77,0.427
4311008797037316224,APF,5476,4.11,1.27,0.425,0.078,0.503,-0.077,69,0.422
4311008797037316224,PEPSI,5476,4.11,1.2,0.417,0.077,0.396,0.021,75,0.422
4430730494968490368,PEPSI,5546,4.52,1.04,0.494,0.058,0.438,0.056,74,0.429
